advisor,advisor_churn,advisor_churn_type,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel,channel_type,primary_prod_sold_va,primary_prod_sold_type,sf_email_campaigns,advisor_hh_children,va_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,wholesaler_i,wholesaler_name
539,0,no_advisor_churn,0,1,1,0,0,bank,1,va,2,6,918476701,13,918541,3,50,273175,85,1,799,25,Y,Yang
540,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,6,1923011041,17,4984600,2,19,182546,81,2,689,21,U,Underwood
541,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,2,4,96654846,16,4163292,1,45,293841,59,3,686,11,K,Kanumba
542,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,0,717894141,18,3381324,3,48,90046,82,4,727,21,U,Underwood
543,0,no_advisor_churn,1,0,1,0,0,bank,1,va,3,6,296213451,22,4195984,3,37, ,89,4,778,16,P,Patel
544,0,no_advisor_churn,1,0,1,0,0,bank,1,va,1,0,909687639,17,1824042,2,39,70767,96,3,759,4,D,Devon
545,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,1,6,597185738,13,2402248,1,32,477019,99,3,777,21,U,Underwood
546,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,4,555782439,16,627600,3,37,55058,73,3,798,22,V,Vasquez
547,0,no_advisor_churn,1,0,1,0,0,bank,1,va,7,4,95020897,8,25714,1,25,99161,44,1,756,13,M,Mambwe
548,0,no_advisor_churn,1,0,1,1,0,bank,1,va,3,1,231612272,8,41731,2,35,275684,75,2,796,19,S,Szu
549,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,3,3,4139840114,10,390389,1,66,119589,94,4,619,2,B,Bost
550,0,no_advisor_churn,0,0,0,0,2,ria,1,va,2,0,87265418,9,96495,3,71,347247,88,5,680,9,I,Ingrid
551,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,4,2,22878752,18,4215768,2,58,211894,85,1,736,8,H,Hassan
552,0,no_advisor_churn,1,0,1,1,1,wirehouse,1,va,6,2,196717042,76,85442,1,59,51458,86,2,840,3,C,Chatterji
553,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,3,3,2061225018,10,1271974,2,32,238479,86,1,742,1,A,Abbott
554,0,no_advisor_churn,1,1,1,0,0,bank,1,va,6,7,4876005634,5,430634,1,33,89142,99,3,771,15,O,Ojj
555,0,no_advisor_churn,0,0,0,0,0,bank,1,va,2,0,80504872,18,1978555,3,47,157695,91,4,813,16,P,Patel
556,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,5,4,812194698,14,3484294,3,29,207946,98,2,694,20,T,Tavares
557,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,7,3,904545366,17,43001,2,41,212330,26,3,735,22,V,Vasquez
558,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,4,2,4792662374,14,4699446,1,42,51990,68,2,749,10,J,Jasper
559,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,4,4,850950948,16,4768677,2,37, ,99,5,793,8,H,Hassan
560,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,5,3,1129617788,16,10349,3,24,158541,92,3,791,5,E,English
561,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,2,0,811583788,7,355730,1,57,226015,81,3,746,2,B,Bost
562,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,4,4,2356595165,6,4883491,3,40,75094,89,2,771,25,Y,Yang
563,0,no_advisor_churn,0,0,1,1,2,ria,1,va,7,5,62072060,18,1121780,3,56,480852,60,3,756,9,I,Ingrid
564,0,no_advisor_churn,0,1,1,0,0,bank,1,va,6,4,321064616,16,188552,1,69,445431,95,4,760,21,U,Underwood
565,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,1,4,1462888196,5,3363787,3,34,200825,76,5,594,14,N,Noth
566,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,6,0,704795343,22,4465604,1,70,225468,70,5,721,8,H,Hassan
567,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,6,7,885786851,15,4955050,2,24, ,77,4,732,14,N,Noth
568,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,2,1,553286519,18,4440,2,58,334546,87,5,766,4,D,Devon
569,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,3,6,3170467485,15,243355,1,41,76171,56,4,745,14,N,Noth
570,0,no_advisor_churn,0,0,1,0,0,bank,1,va,2,4,2630077033,21,1568565,3,22,101752,54,5,689,2,B,Bost
571,0,no_advisor_churn,0,1,1,0,0,bank,1,va,0,4,549855608,10,83937,3,42, ,100,3,792,5,E,English
572,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,2,2,894077140,11,2053269,3,20,88014,99,2,818,7,G,Griegio
573,0,no_advisor_churn,0,0,1,1,0,bank,1,va,3,4,361902333,17,4605359,2,67,246702,54,1,710,20,T,Tavares
574,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,3,3,379953791,7,3029950,3,42,266831,90,4,782,24,X,Xavier
575,0,no_advisor_churn,1,1,0,0,0,bank,0,fixed,5,6,3023978902,3,111701,6,41, ,97,4,759,4,D,Devon
576,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,5,3,896549053,15,233216,2,20,281543,79,3,710,7,G,Griegio
577,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,3,4,616048951,6,1937106,3,49,415019,85,1,601,8,H,Hassan
578,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,5,1,688006267,21,826107,1,21,467951,90,3,705,10,J,Jasper
579,0,no_advisor_churn,1,1,1,0,0,bank,1,va,6,5,95890205,23,447292,3,28,86831,90,1,626,3,C,Chatterji
580,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,1,4,3416336136,16,858912,3,44,201882,56,2,783,17,Q,Quigley
581,0,no_advisor_churn,0,1,1,0,0,bank,1,va,6,0,78771315,16,1992321,1,20, ,100,5,659,21,U,Underwood
582,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,2,902624595,14,65506,3,47,162784,84,2,708,22,V,Vasquez
583,0,no_advisor_churn,1,0,0,1,0,bank,1,va,3,6,137108670,16,763490,1,20,65859,71,5,763,3,C,Chatterji
584,0,no_advisor_churn,1,1,1,0,0,bank,1,va,4,3,640331510,80,4030393,1,53,147635,73,3,721,3,C,Chatterji
585,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,5,6,872042104,9,4997316,1,65,218616,43,3,792,21,U,Underwood
586,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,6,0,357551663,23,95438,1,30,50811,65,2,794,19,S,Szu
587,0,no_advisor_churn,1,1,0,1,0,bank,1,va,4,4,691771925,15,12480,2,34,148684,56,2,828,11,K,Kanumba
588,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,4,5,99033465,16,3132479,1,29,251816,72,5,793,7,G,Griegio
589,0,no_advisor_churn,1,1,1,0,1,wirehouse,0,fixed,2,6,208676751,15,241081,4,41,379145,84,3,734,15,O,Ojj
590,0,no_advisor_churn,1,1,1,1,0,bank,1,va,1,4,93603688,4,176037,3,27,83088,98,5,771,24,X,Xavier
591,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,3,1,2665766969,14,56667,3,32,203511,88,5,759,14,N,Noth
592,0,no_advisor_churn,0,0,0,1,1,wirehouse,1,va,1,2,290975051,23,15332,3,42,61447,86,4,799,1,A,Abbott
593,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,1,4,938391111,9,2700265,2,45,225716,79,3,827,1,A,Abbott
594,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,2,5,902553225,7,67559,1,26, ,87,5,697,1,A,Abbott
595,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,4,5,1670210249,8,93946,1,50,65027,51,2,790,13,M,Mambwe
596,0,no_advisor_churn,1,0,1,1,0,bank,1,va,5,5,2837555470,8,360887,3,19, ,81,3,736,9,I,Ingrid
597,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,7,4,884991749,18,390760,1,43,328882,83,1,725,25,Y,Yang
598,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,1,1,4659077660,15,393795,3,28, ,93,4,780,8,H,Hassan
599,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,3,3,945676932,8,4072628,1,37, ,90,3,710,17,Q,Quigley
600,0,no_advisor_churn,0,0,1,0,0,bank,1,va,6,2,666852114,23,901897,1,63,184502,100,4,758,24,X,Xavier
601,0,no_advisor_churn,0,1,0,0,0,bank,1,va,6,4,2264050473,8,2445093,3,50,204766,90,5,760,10,J,Jasper
602,0,no_advisor_churn,0,1,1,0,2,ria,1,va,2,3,530235378,8,432511,2,19,447594,87,1,849,17,Q,Quigley
603,0,no_advisor_churn,0,0,1,0,2,ria,1,va,4,4,44193223,16,148593,1,40,392719,93,3,724,21,U,Underwood
604,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,3,0,972971459,9,4833786,3,32, ,85,1,793,2,B,Bost
605,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,6,6,45737868,16,465612,2,47,91163,89,5,607,1,A,Abbott
606,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,6,702902209,21,3275045,3,50,121295,78,5,707,3,C,Chatterji
607,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,0,6,72084831,17,3119018,2,45,266581,88,4,830,7,G,Griegio
608,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,7,5,79350070,18,2083999,1,54,432051,86,3,778,14,N,Noth
609,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,4,4,214985256,10,1255740,3,60,331934,51,5,798,14,N,Noth
610,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,2,3,147219108,11,975511,2,89,146246,98,5,589,4,D,Devon
611,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,4,1,444977425,11,252998,2,19,53613,96,5,733,10,J,Jasper
612,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,4,1,379346104,16,3969758,1,37,157634,92,3,794,25,Y,Yang
613,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,2,3,173944416,11,2445044,2,86,357112,63,4,778,19,S,Szu
614,0,no_advisor_churn,1,1,1,0,0,bank,1,va,1,6,2045448145,23,464759,1,42,54197,62,5,769,19,S,Szu
615,0,no_advisor_churn,1,1,0,0,0,bank,1,va,1,0,609878205,22,3896384,2,26,221678,84,3,798,2,B,Bost
616,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,2,0,415771663,2,92734,1,38,69509,60,5,722,22,V,Vasquez
617,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,2,2,119551268,16,1965627,2,47,267473,79,4,770,25,Y,Yang
618,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,3,5,401924727,16,336990,1,23,228068,51,1,847,15,O,Ojj
619,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,5,674086026,14,3929562,3,28,74418,100,5,773,13,M,Mambwe
620,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,4,2,919479035,16,3320532,3,44,276816,65,3,768,3,C,Chatterji
621,0,no_advisor_churn,0,1,1,0,0,bank,1,va,1,5,846247483,30,70080,3,25,213987,69,3,693,22,V,Vasquez
622,0,no_advisor_churn,1,1,1,1,0,bank,1,va,5,1,349969497,16,109812,2,31,158852,62,4,732,22,V,Vasquez
623,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,4,3,17142284,11,403500,3,55,92920,84,3,845,19,S,Szu
624,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,2,720087365,13,242188,2,23,116154,71,2,779,3,C,Chatterji
625,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,5,2,804283719,13,1442301,1,23,166218,92,3,674,20,T,Tavares
626,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,6,1,52915531,7,201520,3,30,265741,68,1,764,17,Q,Quigley
627,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,2,741516349,12,1365060,2,21,140838,88,0,782,9,I,Ingrid
628,0,no_advisor_churn,1,0,0,1,1,wirehouse,1,va,3,1,4391572665,22,2933836,2,59,55775,53,4,770,11,K,Kanumba
629,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,4,7,65528572,11,1357534,1,47, ,85,4,785,7,G,Griegio
630,0,no_advisor_churn,0,1,1,0,0,bank,1,va,3,7,534149968,20,410219,3,86,114585,73,5,752,12,L,Lula
631,0,no_advisor_churn,0,1,0,0,0,bank,1,va,6,1,3797225262,15,497531,3,58,235764,86,3,815,19,S,Szu
632,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,6,4,3611852250,8,1012196,1,59,199612,99,5,793,13,M,Mambwe
633,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,3,3,3346794832,13,1301600,1,52,205290,81,3,792,16,P,Patel
634,0,no_advisor_churn,0,0,1,0,0,bank,1,va,2,7,455386212,8,261293,2,36,259757,93,4,786,16,P,Patel
635,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,2,979856782,8,3682000,1,28,293323,81,4,672,13,M,Mambwe
636,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,3,0,656287677,7,61098,1,41,116666,74,1,657,17,Q,Quigley
637,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,5,53856305,7,191050,2,36,70933,100,5,712,5,E,English
638,0,no_advisor_churn,0,1,1,0,0,bank,1,va,1,4,611420299,10,2531755,1,37,432840,96,1,831,21,U,Underwood
639,0,no_advisor_churn,1,0,1,0,2,ria,1,va,1,3,901122933,22,99579,3,67,254712,98,0,771,20,T,Tavares
640,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,7,5,73266224,9,780758,3,41,298721,87,5,731,13,M,Mambwe
641,0,no_advisor_churn,0,1,1,1,0,bank,1,va,1,1,19635195,8,1902207,3,65, ,98,5,746,23,W,Werner
642,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,3,2,742431800,12,4362119,3,34,237355,98,3,729,13,M,Mambwe
643,0,no_advisor_churn,0,1,1,1,0,bank,1,va,3,1,997759038,15,3146748,3,20,226262,91,5,740,3,C,Chatterji
644,0,no_advisor_churn,0,0,1,1,0,bank,1,va,4,3,117147025,9,2385659,2,20,258689,63,4,796,15,O,Ojj
645,0,no_advisor_churn,1,1,1,0,0,bank,1,va,6,6,62292561,9,1909435,1,41,265404,52,3,775,23,W,Werner
646,0,no_advisor_churn,0,1,1,0,0,bank,1,va,3,2,630312424,10,2649939,1,55,363344,79,3,781,17,Q,Quigley
647,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,6,4,755120362,6,4870313,2,25, ,92,4,794,14,N,Noth
648,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,6,630714866,15,310098,2,29,202051,96,4,680,4,D,Devon
649,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,0,5,658364154,19,2794123,3,25,121629,93,3,678,21,U,Underwood
650,0,no_advisor_churn,1,0,1,1,1,wirehouse,1,va,3,3,4500805958,19,1133253,1,59,238108,89,0,842,22,V,Vasquez
651,0,no_advisor_churn,0,1,0,0,0,bank,1,va,3,1,733390899,15,4702491,3,25,135802,81,3,783,17,Q,Quigley
652,0,no_advisor_churn,0,0,1,1,0,bank,1,va,2,2,1022561702,13,241100,1,53,387643,81,5,707,22,V,Vasquez
653,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,1,4,41402629,18,53562,2,50, ,96,4,729,7,G,Griegio
654,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,4,0,21206556,15,2500955,3,53,180912,87,5,787,1,A,Abbott
655,0,no_advisor_churn,0,0,0,1,1,wirehouse,1,va,2,5,421320961,10,186788,1,48, ,90,3,763,14,N,Noth
656,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,5,2,2899684269,15,35751,1,41,115437,76,2,704,5,E,English
657,0,no_advisor_churn,0,1,1,1,0,bank,1,va,3,1,993271778,10,323171,2,47,200865,87,4,783,8,H,Hassan
658,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,1,3,780734339,18,1028652,1,21,127857,84,4,700,21,U,Underwood
659,0,no_advisor_churn,0,1,1,1,0,bank,1,va,6,4,2203451350,11,10384,1,31, ,80,1,830,11,K,Kanumba
660,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,1,2,861785781,6,371864,1,82,384201,81,3,735,16,P,Patel
661,0,no_advisor_churn,0,0,1,1,0,bank,1,va,6,5,1728572935,17,3900612,1,28,86453,54,3,775,23,W,Werner
662,0,no_advisor_churn,1,0,0,0,0,bank,1,va,4,2,979851716,13,13620,1,68,71004,97,4,763,15,O,Ojj
663,0,no_advisor_churn,1,1,1,0,0,bank,1,va,1,5,549631912,13,662360,1,85,132177,73,5,824,8,H,Hassan
664,0,no_advisor_churn,0,1,0,0,2,ria,1,va,6,0,15113485,12,3203829,3,49,319923,95,5,703,19,S,Szu
665,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,2,1,872979045,8,39045,1,42,258496,93,4,799,1,A,Abbott
666,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,3,5,1089066994,11,4177964,1,34,130284,99,5,772,4,D,Devon
667,0,no_advisor_churn,0,1,0,0,0,bank,1,va,2,1,2808943530,20,54154,1,68,233755,80,4,760,22,V,Vasquez
668,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,3,4,325345075,10,4897420,2,21,329512,96,4,630,21,U,Underwood
669,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,5,1,52391849,14,264961,2,33, ,67,5,742,24,X,Xavier
670,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,3,1,511494771,20,4821265,2,32,195217,87,1,738,21,U,Underwood
671,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,1,0,56669088,19,4121302,2,19,187348,89,3,744,25,Y,Yang
672,0,no_advisor_churn,0,1,1,1,0,bank,0,fixed,2,4,76114639,13,235173,4,67,265417,78,0,794,20,T,Tavares
673,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,1,15646489,8,62593,3,60, ,94,3,682,24,X,Xavier
674,0,no_advisor_churn,0,1,0,0,0,bank,1,va,7,6,174958295,17,1034794,3,59,258148,79,4,744,7,G,Griegio
675,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,6,1,220554550,9,278006,1,35,102592,64,3,734,24,X,Xavier
676,0,no_advisor_churn,1,1,1,1,0,bank,1,va,1,6,4589325889,23,1973219,2,34, ,64,4,754,9,I,Ingrid
677,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,7,6,432820137,18,490200,2,84,183398,60,4,780,20,T,Tavares
678,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,7,5,75106190,15,10879,3,39,272634,58,5,727,1,A,Abbott
679,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,5,4,3103425041,14,3073699,1,84,123147,62,3,810,12,L,Lula
680,0,no_advisor_churn,0,0,1,1,0,bank,1,va,6,0,16333253,13,3801359,1,38,438611,83,3,666,12,L,Lula
681,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,5,5,553830069,20,1597156,2,59,106773,100,4,706,2,B,Bost
682,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,2,1,25650980,3,1691261,1,59,122257,72,5,830,15,O,Ojj
683,0,no_advisor_churn,1,1,0,1,2,ria,1,va,5,7,782866816,16,3752938,3,37,356669,54,4,791,7,G,Griegio
684,0,no_advisor_churn,0,0,0,1,0,bank,1,va,7,4,1603490469,23,3239721,3,42,273324,96,5,648,3,C,Chatterji
685,0,no_advisor_churn,0,1,1,0,0,bank,1,va,1,0,55482636,4,2740813,2,55,173283,99,3,731,9,I,Ingrid
686,0,no_advisor_churn,0,1,1,0,0,bank,1,va,4,7,174919088,16,66102,1,21,152842,85,1,706,3,C,Chatterji
687,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,3,5,74276805,10,3108950,3,59,267007,63,3,767,13,M,Mambwe
688,0,no_advisor_churn,0,1,1,0,0,bank,1,va,7,1,611934062,9,1892552,2,28,74652,83,4,828,5,E,English
689,0,no_advisor_churn,1,1,1,0,0,bank,1,va,6,0,18988225,18,1672111,3,60,252308,69,3,760,4,D,Devon
690,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,7,6,885406403,11,2495499,2,48,272719,71,3,846,6,F,Funderburk
691,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,4,2,382354761,10,2586797,2,34,140713,81,4,717,24,X,Xavier
692,0,no_advisor_churn,0,0,0,1,0,bank,1,va,2,1,776013792,9,2010980,1,51,246430,88,4,776,17,Q,Quigley
693,0,no_advisor_churn,0,1,1,1,0,bank,1,va,7,5,66732145,13,58849,2,21,262095,65,4,774,16,P,Patel
694,0,no_advisor_churn,1,0,1,0,0,bank,1,va,3,6,884313895,11,4631622,3,40,230263,85,5,724,7,G,Griegio
695,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,5,3,102674382,14,991326,2,28, ,89,2,846,8,H,Hassan
696,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,3,6,33549736,16,3923311,3,40, ,92,4,807,2,B,Bost
697,0,no_advisor_churn,0,1,0,1,0,bank,1,va,4,7,12982089,9,621746,3,34,175255,54,0,701,2,B,Bost
698,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,4,6,89904141,15,900338,1,61,236049,90,4,702,25,Y,Yang
699,0,no_advisor_churn,0,1,0,1,0,bank,1,va,3,4,356709825,17,387441,2,52,227440,66,3,788,21,U,Underwood
700,0,no_advisor_churn,0,0,0,1,2,ria,1,va,3,3,390518572,10,205063,2,30, ,75,3,755,25,Y,Yang
701,0,no_advisor_churn,0,1,1,0,1,wirehouse,0,fixed,3,1,76446867,13,1261,5,33,278940,94,3,711,10,J,Jasper
702,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,5,4,66526324,14,22607,2,42,230236,85,4,847,10,J,Jasper
703,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,6,2,877253340,14,4121507,1,23,294034,87,5,759,10,J,Jasper
704,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,3,1,17809783,8,116136,2,27,191757,59,1,750,19,S,Szu
705,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,1,4,116214891,7,4333835,3,62,126356,90,3,785,2,B,Bost
706,0,no_advisor_churn,1,1,1,1,1,wirehouse,1,va,2,6,3793776324,10,4920497,3,41,212014,59,3,765,16,P,Patel
707,0,no_advisor_churn,0,1,0,1,0,bank,1,va,1,7,860286678,9,4584121,1,27,289648,98,5,718,7,G,Griegio
708,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,2,0,405427770,22,4310696,3,69,455423,96,2,720,13,M,Mambwe
709,0,no_advisor_churn,0,0,1,0,0,bank,1,va,4,3,2461756987,17,3353721,2,30,270701,88,5,732,4,D,Devon
710,0,no_advisor_churn,1,1,1,0,0,bank,0,fixed,6,3,4577292395,19,75151,5,45,84753,84,5,752,4,D,Devon
711,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,7,6,242072520,18,1591,2,43,320932,89,3,783,13,M,Mambwe
712,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,7,2,326892869,17,3103072,3,46, ,58,5,754,13,M,Mambwe
713,0,no_advisor_churn,0,1,0,0,0,bank,1,va,4,1,40296024,15,2152751,2,54,50239,94,4,841,9,I,Ingrid
714,0,no_advisor_churn,0,1,1,1,2,ria,1,va,3,2,602353694,17,1292829,2,59,183672,88,1,768,7,G,Griegio
715,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,7,3,2794131212,9,1305425,1,46, ,89,3,799,15,O,Ojj
716,0,no_advisor_churn,0,1,1,0,0,bank,1,va,2,6,45129192,13,11845,3,50,271508,33,3,770,15,O,Ojj
717,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,6,7,2710595672,9,121165,3,46,110051,91,4,792,11,K,Kanumba
718,0,no_advisor_churn,0,0,0,1,1,wirehouse,1,va,3,0,623855774,7,430535,3,43,204896,81,3,799,24,X,Xavier
719,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,6,5,4374815670,20,272075,2,83,167301,94,2,758,11,K,Kanumba
720,0,no_advisor_churn,0,1,1,0,0,bank,1,va,4,0,95807165,18,3440994,3,67,261779,100,5,839,19,S,Szu
721,0,no_advisor_churn,0,0,0,0,0,bank,1,va,1,2,590445967,10,498949,1,33,190244,100,1,693,12,L,Lula
722,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,5,0,39766940,13,3821555,2,47,230170,91,4,791,1,A,Abbott
723,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,4,6,13788612,8,400463,2,20, ,89,4,711,5,E,English
724,0,no_advisor_churn,0,0,1,1,0,bank,1,va,2,1,864252505,1,2014128,1,66,187632,83,3,795,6,F,Funderburk
725,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,2,3897508322,7,3832574,1,38,291134,83,5,771,7,G,Griegio
726,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,7,2,74864415,7,2437496,1,27,255570,84,5,769,19,S,Szu
727,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,3,4,964269653,14,21464,2,41, ,90,5,602,11,K,Kanumba
728,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,0,710170043,23,2368496,2,45,172258,81,3,795,14,N,Noth
729,0,no_advisor_churn,0,1,0,1,1,wirehouse,1,va,1,1,177001902,12,241200,1,32,72697,99,1,617,19,S,Szu
730,0,no_advisor_churn,0,1,1,1,2,ria,1,va,1,5,879827215,13,259785,1,57,65535,88,4,692,16,P,Patel
731,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,5,1,92235604,17,897292,1,78,120408,89,4,706,4,D,Devon
732,0,no_advisor_churn,0,0,1,0,0,bank,1,va,2,0,68223580,10,3245949,2,54,193684,85,3,734,6,F,Funderburk
733,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,4,7,80155780,4,418073,3,35,89309,97,3,778,24,X,Xavier
734,0,no_advisor_churn,1,1,1,0,0,bank,1,va,5,0,1631592395,9,1262009,3,41,477312,96,1,732,22,V,Vasquez
735,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,7,4,746436132,11,2972288,2,37,205321,81,2,725,19,S,Szu
736,0,no_advisor_churn,1,0,0,0,0,bank,1,va,4,2,106852929,11,91309,1,67, ,84,3,779,4,D,Devon
737,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,7,0,2152820174,22,4411382,3,50,274742,63,5,742,12,L,Lula
738,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,7,0,208861641,9,79833,3,29, ,88,5,828,24,X,Xavier
739,0,no_advisor_churn,1,0,0,1,0,bank,1,va,1,1,4741010708,9,2106091,1,46,304550,95,3,769,5,E,English
740,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,4,5,60041231,15,479605,2,32,313855,67,3,778,10,J,Jasper
741,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,6,4,332256348,1,3174702,2,45,241417,97,1,675,7,G,Griegio
742,0,no_advisor_churn,0,1,0,1,0,bank,1,va,1,6,536997109,14,2666576,1,39, ,70,2,747,7,G,Griegio
